Borough Name,Job Type,BIN Number,Date,Estimated Job Cost,Latitude Point,Longitude Point,House Number,Street Name
Queens,A1,4288800,12/12/2016,279660,40.65938187,-73.73336792,142-18,254 STREET
Manhattan,A2,1087148,12/13/2016,44500,40.76716995,-73.9850769,333,WEST   56 STREET
Queens,A2,4082943,12/13/2016,284000,40.70492935,-73.90618134,682,WOODWARD AVENUE
Queens,A1,4148107,12/13/2016,331280,40.72259903,-73.80638885,78-02,162 STREET
Manhattan,A2,1045290,12/14/2016,1600,40.76052094,-73.95928192,428,EAST 62 STREET
Queens,A2,4312614,12/14/2016,9000,40.70956039,-73.81867981,137-61,QUEENS BOULEVARD
Brooklyn,A2,3042762,12/14/2016,40000,40.67705917,-73.90589905,1436,HERKIMER STREET
Queens,A1,4153577,12/14/2016,225000,40.73167038,-73.78904724,69-71, 181 STREET
Brooklyn,A2,3342991,12/14/2016,272000,40.59008026,-73.98982239,216,BAY   44 STREET
Manhattan,A2,1040541,12/14/2016,325625,40.75791168,-73.96124268,447,EAST 57 STREET
Queens,A2,4117035,12/14/2016,734000,40.7569809,-73.82367706,42-37,UNION STREET
Manhattan,A2,1050766,12/14/2016,1209250,40.77103043,-73.94882965,515,EAST 79 STREET
Brooklyn,A2,3013537,12/15/2016,3000,40.64559937,-74.01296997,5101,4 AVENUE
Brooklyn,A2,3051160,12/15/2016,30000,40.686409,-73.94709778,472,GATES AVENUE
Queens,A1,4289133,12/15/2016,816366,40.65811157,-73.72844696,258-07,FRANCIS LEWIS BOULEVARD
Manhattan,A2,1030906,12/16/2016,8700,40.78295898,-73.97940826,211,WEST 78 STREET
Manhattan,A2,1042829,12/16/2016,11450,40.7705307,-73.96321869,114,EAST 72 STREET
Queens,A2,4003156,12/16/2016,12240,40.7447319,-73.92816162,43-42,37 STREET
Manhattan,A3,1082337,12/16/2016,20000,40.79639053,-73.94225311,1809,LEXINGTON AVENUE
Brooklyn,A2,3328800,12/16/2016,30000,40.63534927,-74.01595306,6401,   6 AVENUE
Manhattan,A2,1059717,12/16/2016,50000,40.8158989,-73.95760345,560,WEST 126 STREET
Manhattan,A2,1076247,12/16/2016,116141,40.78578949,-73.97794342,221,WEST   82 STREET
Bronx,A2,2057296,12/16/2016,124000,40.87837982,-73.86643219,3531,WHITE PLAINS ROAD
Manhattan,A2,1015027,12/16/2016,130500,40.74541855,-73.99346161,146,WEST 26 STREET
Manhattan,A2,1059716,12/16/2016,150000,40.81579971,-73.95751953,556,WEST 126 STREET
Manhattan,A2,1026911,12/16/2016,1150000,40.76100922,-73.99762726,551,WEST 42 STREET
Brooklyn,A3,3131384,12/19/2016,30000,40.62508011,-73.98970795,1644,  58 STREET
Brooklyn,A2,3006899,12/19/2016,856492,40.68204117,-73.99146271,410,DE GRAW STREET
Queens,A2,4155495,12/20/2016,47560,40.72716904,-73.78648376,181-08,UNION TURNPIKE
Queens,A2,4212426,12/20/2016,71000,40.71340942,-73.77953339,88-01, 182 PLACE
Manhattan,A2,1035327,12/20/2016,102000,40.7523613,-73.98088074,8,EAST 41 STREET
